property_id,title,city,location,property_type,bhk,price,area_sqft,floor,total_floors,parking,furnished,amenities,metro_distance_km,availability,description
PROP-1001,3 BHK Villa in Palm Heights,Gurgaon,Sector 57,Villa,3,14400000,1770,6,8,True,Semi-Furnished,Swimming Pool; Children's Play Area; Intercom; Clubhouse; EV Charging; Power Backup; Gym; Jogging Track,2.3,Available in 30 Days,"Fictional 3 BHK villa in Sector 57, Gurgaon. 1770 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.3 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1002,3 BHK Apartment in Urban Nest,Gurgaon,Sector 50,Apartment,3,13650000,1550,2,28,True,Semi-Furnished,Power Backup; Park; Jogging Track; Clubhouse; CCTV; Visitor Parking; 24x7 Security; Swimming Pool,2.9,Available Now,"Fictional 3 BHK apartment in Sector 50, Gurgaon. 1550 sq ft home with semi-furnished interiors, dedicated parking, approximately 2.9 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1003,4 BHK Apartment in Metro Heights,Gurgaon,Sector 54,Apartment,4,14850000,2570,7,32,False,Semi-Furnished,Children's Play Area; Gym; 24x7 Security; Lift; Park; EV Charging; Swimming Pool; Visitor Parking,2.5,Available in 60 Days,"Fictional 4 BHK apartment in Sector 54, Gurgaon. 2570 sq ft home with semi-furnished interiors, no dedicated parking, approximately 2.5 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1004,2 BHK Apartment in Aria Residency,Gurgaon,Sector 67,Apartment,2,8700000,1180,16,18,True,Semi-Furnished,Park; Children's Play Area; Clubhouse; Visitor Parking; Swimming Pool; EV Charging; Power Backup,3.8,Available Now,"Fictional 2 BHK apartment in Sector 67, Gurgaon. 1180 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.8 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1005,3 BHK Penthouse in Skyline Homes,Gurgaon,Sector 70,Penthouse,3,12650000,1910,11,20,False,Fully Furnished,Jogging Track; Clubhouse; EV Charging; Gym; Lift; Park; Children's Play Area; Swimming Pool; 24x7 Security; CCTV,5.1,Available Now,"Fictional 3 BHK penthouse in Sector 70, Gurgaon. 1910 sq ft home with fully furnished interiors, no dedicated parking, approximately 5.1 km from the nearest metro connection. Located near Southern Peripheral Road with a range of community amenities."
PROP-1006,3 BHK Builder Floor in Central Park Residency,Gurgaon,Sector 82,Builder Floor,3,13750000,1780,4,24,False,Semi-Furnished,Power Backup; CCTV; Intercom; Lift; Children's Play Area; Gym; Clubhouse; 24x7 Security; Swimming Pool; Jogging Track,6.3,Available Now,"Fictional 3 BHK builder floor in Sector 82, Gurgaon. 1780 sq ft home with semi-furnished interiors, no dedicated parking, approximately 6.3 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1007,3 BHK Builder Floor in Greenview Towers,Gurgaon,Sector 92,Builder Floor,3,9800000,1840,2,15,True,Semi-Furnished,Park; Children's Play Area; EV Charging; Community Hall; 24x7 Security; Clubhouse; Power Backup; Swimming Pool; Visitor Parking; Lift,6.4,Available in 30 Days,"Fictional 3 BHK builder floor in Sector 92, Gurgaon. 1840 sq ft home with semi-furnished interiors, dedicated parking, approximately 6.4 km from the nearest metro connection. Located near Dwarka Expressway with a range of community amenities."
PROP-1008,2 BHK Apartment in Park Avenue,Gurgaon,Sector 43,Apartment,2,8250000,1160,9,10,False,Fully Furnished,Visitor Parking; Jogging Track; Swimming Pool; Park; Clubhouse; Gym; 24x7 Security; Children's Play Area; Community Hall,1.3,Available Now,"Fictional 2 BHK apartment in Sector 43, Gurgaon. 1160 sq ft home with fully furnished interiors, no dedicated parking, approximately 1.3 km from the nearest metro connection. Located near Golf Course Road with a range of community amenities."
PROP-1009,2 BHK Villa in Palm Heights,Gurgaon,Sector 66,Villa,2,9750000,1340,14,28,True,Semi-Furnished,Jogging Track; Visitor Parking; Community Hall; Intercom; Park; Power Backup; Lift; EV Charging; CCTV,3.0,Available Now,"Fictional 2 BHK villa in Sector 66, Gurgaon. 1340 sq ft home with semi-furnished interiors, dedicated parking, approximately 3.0 km from the nearest metro connection. Located near Golf Course Extension Road with a range of community amenities."
PROP-1010,4 BHK Penthouse in Urban Nest,Gurgaon,Sector 79,Penthouse,4,17750000,2300,5,20,True,Semi-Furnished,Gym; Clubhouse; CCTV; Swimming Pool; Jogging Track; 24x7 Security; Children's Play Area; Power Backup,7.3,Available Now,"Fictional 4 BHK penthouse in Sector 79, Gurgaon. 2300 sq ft home with semi-furnished interiors, dedicated parking, approximately 7.3 km from the nearest metro connection. Located near SPR with a range of community amenities."
